newindex,BaseDateTime,coordinate,envelope
175,2017-05-22T15:14:07,POINT (-79.98202286811613 26.11031591419339),"POLYGON ((-80.00202286811613 26.09031591419339, -79.96202286811614 26.09031591419339, -79.96202286811614 26.13031591419339, -80.00202286811613 26.13031591419339, -80.00202286811613 26.09031591419339))"
176,2017-05-22T15:14:58,POINT (-79.89730062422301 26.18220301661476),"POLYGON ((-79.917300624223 26.16220301661476, -79.87730062422301 26.16220301661476, -79.87730062422301 26.20220301661476, -79.917300624223 26.20220301661476, -79.917300624223 26.16220301661476))"
177,2017-05-22T15:14:03,POINT (-80.05365810331053 25.78538357126925),"POLYGON ((-80.07365810331052 25.76538357126925, -80.03365810331053 25.76538357126925, -80.03365810331053 25.80538357126925, -80.07365810331052 25.80538357126925, -80.07365810331052 25.76538357126925))"
178,2017-05-22T15:15:04,POINT (-80.09300745089854 25.7407340334476),"POLYGON ((-80.11300745089854 25.7207340334476, -80.07300745089854 25.7207340334476, -80.07300745089854 25.7607340334476, -80.11300745089854 25.7607340334476, -80.11300745089854 25.7207340334476))"
179,2017-05-22T15:15:03,POINT (-80.02655742335892 26.00393969156818),"POLYGON ((-80.04655742335892 25.98393969156818, -80.00655742335893 25.98393969156818, -80.00655742335893 26.02393969156818, -80.04655742335892 26.02393969156818, -80.04655742335892 25.98393969156818))"
180,2017-05-22T15:15:46,POINT (-79.99602946252372 26.39182483586911),"POLYGON ((-80.01602946252372 26.37182483586911, -79.97602946252373 26.37182483586911, -79.97602946252373 26.4118248358691, -80.01602946252372 26.4118248358691, -80.01602946252372 26.37182483586911))"
181,2017-05-22T15:14:18,POINT (-79.89986349722548 26.37444155349068),"POLYGON ((-79.91986349722548 26.35444155349068, -79.87986349722549 26.35444155349068, -79.87986349722549 26.39444155349068, -79.91986349722548 26.39444155349068, -79.91986349722548 26.35444155349068))"
182,2017-05-22T15:15:09,POINT (-80.05338070193224 26.11865990252311),"POLYGON ((-80.07338070193224 26.09865990252311, -80.03338070193224 26.09865990252311, -80.03338070193224 26.13865990252311, -80.07338070193224 26.13865990252311, -80.07338070193224 26.09865990252311))"
183,2017-05-26T15:08:41,POINT (-79.95377883891879 26.16236232872619),"POLYGON ((-79.97377883891879 26.14236232872619, -79.9337788389188 26.14236232872619, -79.9337788389188 26.18236232872619, -79.97377883891879 26.18236232872619, -79.97377883891879 26.14236232872619))"
184,2017-05-26T15:09:06,POINT (-80.08737879419692 26.02485158852458),"POLYGON ((-80.10737879419692 26.00485158852458, -80.06737879419693 26.00485158852458, -80.06737879419693 26.04485158852458, -80.10737879419692 26.04485158852458, -80.10737879419692 26.00485158852458))"
185,2017-05-26T15:08:33,POINT (-79.94258374805079 26.15688291061457),"POLYGON ((-79.96258374805079 26.13688291061457, -79.9225837480508 26.13688291061457, -79.9225837480508 26.17688291061457, -79.96258374805079 26.17688291061457, -79.96258374805079 26.13688291061457))"
186,2017-05-26T15:09:44,POINT (-80.02887703287713 26.05684586802354),"POLYGON ((-80.04887703287713 26.03684586802354, -80.00887703287714 26.03684586802354, -80.00887703287714 26.07684586802354, -80.04887703287713 26.07684586802354, -80.04887703287713 26.03684586802354))"
187,2017-05-26T15:09:56,POINT (-80.00454193614547 26.0518097286531),"POLYGON ((-80.02454193614547 26.0318097286531, -79.98454193614548 26.0318097286531, -79.98454193614548 26.0718097286531, -80.02454193614547 26.0718097286531, -80.02454193614547 26.0318097286531))"
188,2017-05-26T15:08:25,POINT (-79.9738880780012 26.23301556910837),"POLYGON ((-79.99388807800119 26.21301556910837, -79.9538880780012 26.21301556910837, -79.9538880780012 26.25301556910837, -79.99388807800119 26.25301556910837, -79.99388807800119 26.21301556910837))"
189,2017-05-26T15:09:27,POINT (-79.95204941094299 26.01943884580594),"POLYGON ((-79.97204941094299 25.99943884580594, -79.93204941094299 25.99943884580594, -79.93204941094299 26.03943884580594, -79.97204941094299 26.03943884580594, -79.97204941094299 25.99943884580594))"
190,2017-05-26T15:08:45,POINT (-80.02264245418459 26.05412450955523),"POLYGON ((-80.04264245418459 26.03412450955523, -80.0026424541846 26.03412450955523, -80.0026424541846 26.07412450955523, -80.04264245418459 26.07412450955523, -80.04264245418459 26.03412450955523))"
191,2017-05-26T15:08:16,POINT (-79.96637041189976 26.10511988211057),"POLYGON ((-79.98637041189976 26.08511988211057, -79.94637041189976 26.08511988211057, -79.94637041189976 26.12511988211057, -79.98637041189976 26.12511988211057, -79.98637041189976 26.08511988211057))"
192,2017-05-26T15:09:14,POINT (-80.04083944057727 26.12798025962985),"POLYGON ((-80.06083944057727 26.10798025962985, -80.02083944057728 26.10798025962985, -80.02083944057728 26.14798025962985, -80.06083944057727 26.14798025962985, -80.06083944057727 26.10798025962985))"
193,2017-05-26T15:09:51,POINT (-79.89414886294419 26.10911714076209),"POLYGON ((-79.91414886294419 26.0891171407621, -79.8741488629442 26.0891171407621, -79.8741488629442 26.12911714076209, -79.91414886294419 26.12911714076209, -79.91414886294419 26.0891171407621))"
194,2017-05-26T15:08:48,POINT (-79.99025974654056 25.69094394665115),"POLYGON ((-80.01025974654056 25.67094394665115, -79.97025974654056 25.67094394665115, -79.97025974654056 25.71094394665115, -80.01025974654056 25.71094394665115, -80.01025974654056 25.67094394665115))"
195,2017-05-26T15:09:29,POINT (-80.0734812143187 26.18256588171196),"POLYGON ((-80.0934812143187 26.16256588171196, -80.05348121431871 26.16256588171196, -80.05348121431871 26.20256588171196, -80.0934812143187 26.20256588171196, -80.0934812143187 26.16256588171196))"
196,2017-05-26T15:08:09,POINT (-80.02291874228479 25.99031616089696),"POLYGON ((-80.04291874228478 25.97031616089696, -80.00291874228479 25.97031616089696, -80.00291874228479 26.01031616089696, -80.04291874228478 26.01031616089696, -80.04291874228478 25.97031616089696))"
197,2017-05-26T15:09:10,POINT (-80.03422796845071 25.99983616511406),"POLYGON ((-80.0542279684507 25.97983616511406, -80.01422796845071 25.97983616511406, -80.01422796845071 26.01983616511406, -80.0542279684507 26.01983616511406, -80.0542279684507 25.97983616511406))"
198,2017-05-26T15:09:06,POINT (-80.0596205722303 26.18666867506244),"POLYGON ((-80.0796205722303 26.16666867506244, -80.03962057223031 26.16666867506244, -80.03962057223031 26.20666867506244, -80.0796205722303 26.20666867506244, -80.0796205722303 26.16666867506244))"
199,2017-05-26T15:09:26,POINT (-80.03954006345303 25.98074095254431),"POLYGON ((-80.05954006345303 25.96074095254431, -80.01954006345304 25.96074095254431, -80.01954006345304 26.00074095254431, -80.05954006345303 26.00074095254431, -80.05954006345303 25.96074095254431))"
200,2017-05-28T15:14:59,POINT (-80.02997961735609 25.96847427670382),"POLYGON ((-80.04997961735609 25.94847427670382, -80.00997961735609 25.94847427670382, -80.00997961735609 25.98847427670382, -80.04997961735609 25.98847427670382, -80.04997961735609 25.94847427670382))"
201,2017-05-28T15:14:03,POINT (-80.0291270186667 25.96408274881509),"POLYGON ((-80.0491270186667 25.94408274881509, -80.0091270186667 25.94408274881509, -80.0091270186667 25.98408274881509, -80.0491270186667 25.98408274881509, -80.0491270186667 25.94408274881509))"
202,2017-05-28T15:13:40,POINT (-80.03694001219775 26.06401397404489),"POLYGON ((-80.05694001219774 26.04401397404489, -80.01694001219775 26.04401397404489, -80.01694001219775 26.08401397404489, -80.05694001219774 26.08401397404489, -80.05694001219774 26.04401397404489))"
203,2017-05-28T15:14:24,POINT (-80.05648603626101 25.77097180341153),"POLYGON ((-80.076486036261 25.75097180341153, -80.03648603626101 25.75097180341153, -80.03648603626101 25.79097180341153, -80.076486036261 25.79097180341153, -80.076486036261 25.75097180341153))"
204,2017-05-28T15:13:19,POINT (-80.05498566535972 25.83627853670776),"POLYGON ((-80.07498566535972 25.81627853670776, -80.03498566535973 25.81627853670776, -80.03498566535973 25.85627853670776, -80.07498566535972 25.85627853670776, -80.07498566535972 25.81627853670776))"
205,2017-05-28T15:13:37,POINT (-80.07219950174624 26.18923029422737),"POLYGON ((-80.09219950174624 26.16923029422737, -80.05219950174624 26.16923029422737, -80.05219950174624 26.20923029422737, -80.09219950174624 26.20923029422737, -80.09219950174624 26.16923029422737))"
206,2017-05-28T15:14:45,POINT (-80.06849072880122 26.05474478405102),"POLYGON ((-80.08849072880122 26.03474478405102, -80.04849072880123 26.03474478405102, -80.04849072880123 26.07474478405102, -80.08849072880122 26.07474478405102, -80.08849072880122 26.03474478405102))"
207,2017-05-28T15:13:31,POINT (-80.07915588355669 26.12768029480383),"POLYGON ((-80.09915588355669 26.10768029480383, -80.0591558835567 26.10768029480383, -80.0591558835567 26.14768029480383, -80.09915588355669 26.14768029480383, -80.09915588355669 26.10768029480383))"
208,2017-05-28T15:13:23,POINT (-80.06910017181048 25.70161602797383),"POLYGON ((-80.08910017181047 25.68161602797383, -80.04910017181048 25.68161602797383, -80.04910017181048 25.72161602797383, -80.08910017181047 25.72161602797383, -80.08910017181047 25.68161602797383))"
209,2017-05-28T15:13:57,POINT (-80.07884720996448 25.79252925482463),"POLYGON ((-80.09884720996448 25.77252925482463, -80.05884720996448 25.77252925482463, -80.05884720996448 25.81252925482463, -80.09884720996448 25.81252925482463, -80.09884720996448 25.77252925482463))"
210,2017-05-28T15:13:27,POINT (-80.00267916388806 26.03457124180481),"POLYGON ((-80.02267916388806 26.01457124180481, -79.98267916388806 26.01457124180481, -79.98267916388806 26.0545712418048, -80.02267916388806 26.0545712418048, -80.02267916388806 26.01457124180481))"
211,2017-05-28T15:14:17,POINT (-79.99479042340475 26.19245850356622),"POLYGON ((-80.01479042340475 26.17245850356622, -79.97479042340476 26.17245850356622, -79.97479042340476 26.21245850356622, -80.01479042340475 26.21245850356622, -80.01479042340475 26.17245850356622))"
212,2017-05-28T15:14:29,POINT (-80.09851120220569 25.72526120690554),"POLYGON ((-80.11851120220568 25.70526120690554, -80.07851120220569 25.70526120690554, -80.07851120220569 25.74526120690554, -80.11851120220568 25.74526120690554, -80.11851120220568 25.70526120690554))"
213,2017-05-28T15:14:52,POINT (-80.06594547791302 25.73250152566467),"POLYGON ((-80.08594547791301 25.71250152566467, -80.04594547791302 25.71250152566467, -80.04594547791302 25.75250152566467, -80.08594547791301 25.75250152566467, -80.08594547791301 25.71250152566467))"
214,2017-05-28T15:13:58,POINT (-80.08559790575865 26.03304202186168),"POLYGON ((-80.10559790575864 26.01304202186168, -80.06559790575865 26.01304202186168, -80.06559790575865 26.05304202186168, -80.10559790575864 26.05304202186168, -80.10559790575864 26.01304202186168))"
215,2017-05-28T15:13:04,POINT (-80.04913136913407 25.90690728462602),"POLYGON ((-80.06913136913407 25.88690728462602, -80.02913136913408 25.88690728462602, -80.02913136913408 25.92690728462602, -80.06913136913407 25.92690728462602, -80.06913136913407 25.88690728462602))"
216,2017-05-28T15:13:48,POINT (-80.07271105278905 25.78458664373406),"POLYGON ((-80.09271105278904 25.76458664373406, -80.05271105278905 25.76458664373406, -80.05271105278905 25.80458664373405, -80.09271105278904 25.80458664373405, -80.09271105278904 25.76458664373406))"
217,2017-05-28T15:14:00,POINT (-79.8924942546665 26.0829671088355),"POLYGON ((-79.9124942546665 26.0629671088355, -79.87249425466651 26.0629671088355, -79.87249425466651 26.1029671088355, -79.9124942546665 26.1029671088355, -79.9124942546665 26.0629671088355))"
218,2017-05-28T15:14:38,POINT (-80.08647434581191 26.13454677793715),"POLYGON ((-80.1064743458119 26.11454677793715, -80.06647434581191 26.11454677793715, -80.06647434581191 26.15454677793715, -80.1064743458119 26.15454677793715, -80.1064743458119 26.11454677793715))"
219,2017-05-28T15:14:38,POINT (-80.0040412193276 26.02435279696218),"POLYGON ((-80.0240412193276 26.00435279696218, -79.98404121932761 26.00435279696218, -79.98404121932761 26.04435279696218, -80.0240412193276 26.04435279696218, -80.0240412193276 26.00435279696218))"
220,2017-05-29T21:38:12,POINT (-80.00146212660839 25.75996220396259),"POLYGON ((-80.02146212660838 25.73996220396259, -79.98146212660839 25.73996220396259, -79.98146212660839 25.77996220396259, -80.02146212660838 25.77996220396259, -80.02146212660838 25.73996220396259))"
221,2017-05-29T21:37:02,POINT (-80.03352267462019 25.82048502106111),"POLYGON ((-80.05352267462018 25.80048502106111, -80.01352267462019 25.80048502106111, -80.01352267462019 25.84048502106111, -80.05352267462018 25.84048502106111, -80.05352267462018 25.80048502106111))"
222,2017-05-29T21:38:15,POINT (-80.04392383034484 25.81316542324171),"POLYGON ((-80.06392383034483 25.79316542324171, -80.02392383034484 25.79316542324171, -80.02392383034484 25.83316542324171, -80.06392383034483 25.83316542324171, -80.06392383034483 25.79316542324171))"
223,2017-05-29T21:38:31,POINT (-80.09363982073674 25.83210569671267),"POLYGON ((-80.11363982073674 25.81210569671267, -80.07363982073674 25.81210569671267, -80.07363982073674 25.85210569671267, -80.11363982073674 25.85210569671267, -80.11363982073674 25.81210569671267))"
224,2017-05-29T21:37:20,POINT (-80.05096390307862 25.81894774019989),"POLYGON ((-80.07096390307862 25.79894774019989, -80.03096390307863 25.79894774019989, -80.03096390307863 25.83894774019988, -80.07096390307862 25.83894774019988, -80.07096390307862 25.79894774019989))"
225,2017-05-01T15:14:20,POINT (-80.01268537219802 26.48471306178213),"POLYGON ((-80.03268537219802 26.46471306178213, -79.99268537219803 26.46471306178213, -79.99268537219803 26.50471306178213, -80.03268537219802 26.50471306178213, -80.03268537219802 26.46471306178213))"
226,2017-05-26T15:14:35,POINT (-79.95767700857806 25.72435217894693),"POLYGON ((-79.97767700857806 25.70435217894693, -79.93767700857806 25.70435217894693, -79.93767700857806 25.74435217894693, -79.97767700857806 25.74435217894693, -79.97767700857806 25.70435217894693))"
227,2017-05-28T15:13:02,POINT (-80.10157739997231 25.87589675127226),"POLYGON ((-80.12157739997231 25.85589675127226, -80.08157739997232 25.85589675127226, -80.08157739997232 25.89589675127226, -80.12157739997231 25.89589675127226, -80.12157739997231 25.85589675127226))"
228,2017-05-26T15:09:14,POINT (-80.07937889257047 26.14494498424262),"POLYGON ((-80.09937889257047 26.12494498424262, -80.05937889257048 26.12494498424262, -80.05937889257048 26.16494498424262, -80.09937889257047 26.16494498424262, -80.09937889257047 26.12494498424262))"
229,2017-05-19T11:39:16,POINT (-80.02439918416063 26.1531291385959),"POLYGON ((-80.04439918416062 26.1331291385959, -80.00439918416063 26.1331291385959, -80.00439918416063 26.1731291385959, -80.04439918416062 26.1731291385959, -80.04439918416062 26.1331291385959))"
230,2017-05-02T15:08:04,POINT (-79.900266053987 26.12642868107985),"POLYGON ((-79.92026605398699 26.10642868107985, -79.880266053987 26.10642868107985, -79.880266053987 26.14642868107985, -79.92026605398699 26.14642868107985, -79.92026605398699 26.10642868107985))"
231,2017-06-01T20:24:18,POINT (-79.91565820908821 26.41784624284499),"POLYGON ((-79.9356582090882 26.39784624284499, -79.89565820908821 26.39784624284499, -79.89565820908821 26.43784624284499, -79.9356582090882 26.43784624284499, -79.9356582090882 26.39784624284499))"
232,2017-06-01T20:23:48,POINT (-80.09102699168949 25.73843505846943),"POLYGON ((-80.11102699168949 25.71843505846943, -80.07102699168949 25.71843505846943, -80.07102699168949 25.75843505846943, -80.11102699168949 25.75843505846943, -80.11102699168949 25.71843505846943))"
233,2017-06-01T20:24:30,POINT (-80.06552432813072 25.75657287549568),"POLYGON ((-80.08552432813072 25.73657287549568, -80.04552432813072 25.73657287549568, -80.04552432813072 25.77657287549568, -80.08552432813072 25.77657287549568, -80.08552432813072 25.73657287549568))"
234,2017-06-01T20:23:01,POINT (-80.04510620584315 25.83218567986935),"POLYGON ((-80.06510620584315 25.81218567986935, -80.02510620584316 25.81218567986935, -80.02510620584316 25.85218567986935, -80.06510620584315 25.85218567986935, -80.06510620584315 25.81218567986935))"
235,2017-06-01T20:24:06,POINT (-80.0602880856872 25.85045941108442),"POLYGON ((-80.0802880856872 25.83045941108442, -80.04028808568721 25.83045941108442, -80.04028808568721 25.87045941108442, -80.0802880856872 25.87045941108442, -80.0802880856872 25.83045941108442))"
236,2017-06-13T15:37:49,POINT (-80.05212341865055 25.75128480786634),"POLYGON ((-80.07212341865055 25.73128480786634, -80.03212341865056 25.73128480786634, -80.03212341865056 25.77128480786634, -80.07212341865055 25.77128480786634, -80.07212341865055 25.73128480786634))"
237,2017-06-13T15:38:05,POINT (-80.04551356898938 25.75717093459479),"POLYGON ((-80.06551356898937 25.73717093459479, -80.02551356898938 25.73717093459479, -80.02551356898938 25.77717093459479, -80.06551356898937 25.77717093459479, -80.06551356898937 25.73717093459479))"
238,2017-06-13T15:38:12,POINT (-80.05219917236373 25.83022878531606),"POLYGON ((-80.07219917236372 25.81022878531606, -80.03219917236373 25.81022878531606, -80.03219917236373 25.85022878531606, -80.07219917236372 25.85022878531606, -80.07219917236372 25.81022878531606))"
239,2017-06-13T15:38:59,POINT (-80.03401906215171 25.80225343690693),"POLYGON ((-80.05401906215171 25.78225343690693, -80.01401906215172 25.78225343690693, -80.01401906215172 25.82225343690693, -80.05401906215171 25.82225343690693, -80.05401906215171 25.78225343690693))"
240,2017-06-13T15:37:03,POINT (-80.12915850830782 25.73332134174639),"POLYGON ((-80.14915850830782 25.71332134174639, -80.10915850830783 25.71332134174639, -80.10915850830783 25.75332134174639, -80.14915850830782 25.75332134174639, -80.14915850830782 25.71332134174639))"
241,2017-06-15T15:08:59,POINT (-79.96877353365213 26.20848089069103),"POLYGON ((-79.98877353365212 26.18848089069103, -79.94877353365213 26.18848089069103, -79.94877353365213 26.22848089069103, -79.98877353365212 26.22848089069103, -79.98877353365212 26.18848089069103))"
242,2017-06-15T15:08:12,POINT (-80.07864695485341 26.09561301899667),"POLYGON ((-80.09864695485341 26.07561301899667, -80.05864695485342 26.07561301899667, -80.05864695485342 26.11561301899667, -80.09864695485341 26.11561301899667, -80.09864695485341 26.07561301899667))"
243,2017-06-15T15:08:07,POINT (-80.00822705146649 25.99975134846804),"POLYGON ((-80.02822705146649 25.97975134846804, -79.9882270514665 25.97975134846804, -79.9882270514665 26.01975134846804, -80.02822705146649 26.01975134846804, -80.02822705146649 25.97975134846804))"
244,2017-06-15T15:08:39,POINT (-80.02287474839959 26.06524660681771),"POLYGON ((-80.04287474839958 26.04524660681771, -80.00287474839959 26.04524660681771, -80.00287474839959 26.08524660681771, -80.04287474839958 26.08524660681771, -80.04287474839958 26.04524660681771))"
245,2017-06-15T15:09:37,POINT (-79.9480768062156 26.01140507346586),"POLYGON ((-79.96807680621559 25.99140507346586, -79.9280768062156 25.99140507346586, -79.9280768062156 26.03140507346586, -79.96807680621559 26.03140507346586, -79.96807680621559 25.99140507346586))"
246,2017-06-17T15:15:29,POINT (-80.01032620310514 26.25317689408975),"POLYGON ((-80.03032620310513 26.23317689408976, -79.99032620310514 26.23317689408976, -79.99032620310514 26.27317689408975, -80.03032620310513 26.27317689408975, -80.03032620310513 26.23317689408976))"
247,2017-06-17T15:16:39,POINT (-80.05307437320745 26.26576158840258),"POLYGON ((-80.07307437320745 26.24576158840258, -80.03307437320746 26.24576158840258, -80.03307437320746 26.28576158840258, -80.07307437320745 26.28576158840258, -80.07307437320745 26.24576158840258))"
248,2017-06-17T15:15:39,POINT (-79.95456141191663 25.72711090364659),"POLYGON ((-79.97456141191662 25.70711090364659, -79.93456141191663 25.70711090364659, -79.93456141191663 25.74711090364659, -79.97456141191662 25.74711090364659, -79.97456141191662 25.70711090364659))"
249,2017-06-19T13:10:45,POINT (-80.00325907474218 26.04000177481105),"POLYGON ((-80.02325907474217 26.02000177481105, -79.98325907474218 26.02000177481105, -79.98325907474218 26.06000177481105, -80.02325907474217 26.06000177481105, -80.02325907474217 26.02000177481105))"
250,2017-06-19T13:11:47,POINT (-79.96297640703506 25.94681339586205),"POLYGON ((-79.98297640703505 25.92681339586206, -79.94297640703506 25.92681339586206, -79.94297640703506 25.96681339586205, -79.98297640703505 25.96681339586205, -79.98297640703505 25.92681339586206))"
251,2017-06-21T15:09:26,POINT (-80.03284153884732 25.82829932545425),"POLYGON ((-80.05284153884732 25.80829932545425, -80.01284153884733 25.80829932545425, -80.01284153884733 25.84829932545425, -80.05284153884732 25.84829932545425, -80.05284153884732 25.80829932545425))"
252,2017-06-21T15:10:35,POINT (-80.01745579836503 25.84401329782133),"POLYGON ((-80.03745579836503 25.82401329782133, -79.99745579836504 25.82401329782133, -79.99745579836504 25.86401329782133, -80.03745579836503 25.86401329782133, -80.03745579836503 25.82401329782133))"
253,2017-06-21T15:09:56,POINT (-79.93007119407339 26.01677856866253),"POLYGON ((-79.95007119407339 25.99677856866253, -79.9100711940734 25.99677856866253, -79.9100711940734 26.03677856866253, -79.95007119407339 26.03677856866253, -79.95007119407339 25.99677856866253))"
254,2017-06-21T15:10:08,POINT (-80.02384023072615 26.17628546336601),"POLYGON ((-80.04384023072615 26.15628546336601, -80.00384023072615 26.15628546336601, -80.00384023072615 26.19628546336601, -80.04384023072615 26.19628546336601, -80.04384023072615 26.15628546336601))"
255,2017-06-21T15:09:34,POINT (-80.0087334410384 26.09628687946864),"POLYGON ((-80.0287334410384 26.07628687946864, -79.98873344103841 26.07628687946864, -79.98873344103841 26.11628687946864, -80.0287334410384 26.11628687946864, -80.0287334410384 26.07628687946864))"
256,2017-06-21T15:09:51,POINT (-79.87880151499976 26.15771276177018),"POLYGON ((-79.89880151499976 26.13771276177018, -79.85880151499977 26.13771276177018, -79.85880151499977 26.17771276177018, -79.89880151499976 26.17771276177018, -79.89880151499976 26.13771276177018))"
257,2017-06-21T15:10:25,POINT (-79.91829954660197 26.10232602098521),"POLYGON ((-79.93829954660197 26.08232602098521, -79.89829954660198 26.08232602098521, -79.89829954660198 26.12232602098521, -79.93829954660197 26.12232602098521, -79.93829954660197 26.08232602098521))"
258,2017-06-21T15:09:46,POINT (-80.00283017392431 25.98479916616416),"POLYGON ((-80.02283017392431 25.96479916616416, -79.98283017392431 25.96479916616416, -79.98283017392431 26.00479916616416, -80.02283017392431 26.00479916616416, -80.02283017392431 25.96479916616416))"
259,2017-06-21T15:09:15,POINT (-79.96926103928662 26.1098874463594),"POLYGON ((-79.98926103928662 26.0898874463594, -79.94926103928663 26.0898874463594, -79.94926103928663 26.1298874463594, -79.98926103928662 26.1298874463594, -79.98926103928662 26.0898874463594))"
260,2017-06-21T12:46:52,POINT (-79.93870934597194 26.6814954405144),"POLYGON ((-79.95870934597194 26.6614954405144, -79.91870934597195 26.6614954405144, -79.91870934597195 26.7014954405144, -79.95870934597194 26.7014954405144, -79.95870934597194 26.6614954405144))"
261,2017-06-23T15:09:50,POINT (-79.96892632269847 25.73297372120067),"POLYGON ((-79.98892632269846 25.71297372120067, -79.94892632269847 25.71297372120067, -79.94892632269847 25.75297372120067, -79.98892632269846 25.75297372120067, -79.98892632269846 25.71297372120067))"
262,2017-06-23T15:09:57,POINT (-80.01294242661751 26.15811405161507),"POLYGON ((-80.03294242661751 26.13811405161507, -79.99294242661752 26.13811405161507, -79.99294242661752 26.17811405161506, -80.03294242661751 26.17811405161506, -80.03294242661751 26.13811405161507))"
263,2017-06-23T15:09:51,POINT (-80.0128764051059 26.18263673351835),"POLYGON ((-80.0328764051059 26.16263673351835, -79.9928764051059 26.16263673351835, -79.9928764051059 26.20263673351835, -80.0328764051059 26.20263673351835, -80.0328764051059 26.16263673351835))"
264,2017-06-23T15:09:59,POINT (-79.93468071766591 26.07805069920252),"POLYGON ((-79.95468071766591 26.05805069920252, -79.91468071766592 26.05805069920252, -79.91468071766592 26.09805069920252, -79.95468071766591 26.09805069920252, -79.95468071766591 26.05805069920252))"
265,2017-06-23T15:10:59,POINT (-79.9621164140613 25.73304757666186),"POLYGON ((-79.9821164140613 25.71304757666186, -79.9421164140613 25.71304757666186, -79.9421164140613 25.75304757666186, -79.9821164140613 25.75304757666186, -79.9821164140613 25.71304757666186))"
266,2017-06-23T15:09:28,POINT (-80.0605197556222 26.10916776228636),"POLYGON ((-80.08051975562219 26.08916776228636, -80.0405197556222 26.08916776228636, -80.0405197556222 26.12916776228636, -80.08051975562219 26.12916776228636, -80.08051975562219 26.08916776228636))"
267,2017-06-25T19:36:01,POINT (-79.89230733637297 26.41077030443312),"POLYGON ((-79.91230733637296 26.39077030443312, -79.87230733637297 26.39077030443312, -79.87230733637297 26.43077030443312, -79.91230733637296 26.43077030443312, -79.91230733637296 26.39077030443312))"
268,2017-06-25T19:35:46,POINT (-79.96862491222228 26.30446453537237),"POLYGON ((-79.98862491222228 26.28446453537237, -79.94862491222229 26.28446453537237, -79.94862491222229 26.32446453537237, -79.98862491222228 26.32446453537237, -79.98862491222228 26.28446453537237))"
269,2017-06-26T15:16:45,POINT (-80.07805512288924 26.14686478054574),"POLYGON ((-80.09805512288924 26.12686478054574, -80.05805512288924 26.12686478054574, -80.05805512288924 26.16686478054574, -80.09805512288924 26.16686478054574, -80.09805512288924 26.12686478054574))"
270,2017-06-26T15:16:55,POINT (-79.97433318736492 25.88744798144899),"POLYGON ((-79.99433318736492 25.86744798144899, -79.95433318736492 25.86744798144899, -79.95433318736492 25.90744798144899, -79.99433318736492 25.90744798144899, -79.99433318736492 25.86744798144899))"
271,2017-06-26T15:15:42,POINT (-80.02220879300963 26.10906042065772),"POLYGON ((-80.04220879300962 26.08906042065772, -80.00220879300963 26.08906042065772, -80.00220879300963 26.12906042065772, -80.04220879300962 26.12906042065772, -80.04220879300962 26.08906042065772))"
272,2017-06-26T15:16:59,POINT (-80.03281180495377 26.10913922974179),"POLYGON ((-80.05281180495376 26.08913922974179, -80.01281180495377 26.08913922974179, -80.01281180495377 26.12913922974179, -80.05281180495376 26.12913922974179, -80.05281180495376 26.08913922974179))"
273,2017-06-26T15:16:31,POINT (-79.93271777629957 26.01301035106648),"POLYGON ((-79.95271777629956 25.99301035106648, -79.91271777629957 25.99301035106648, -79.91271777629957 26.03301035106648, -79.95271777629956 26.03301035106648, -79.95271777629956 25.99301035106648))"
274,2017-06-26T15:15:10,POINT (-80.05110440292205 26.05255118716267),"POLYGON ((-80.07110440292205 26.03255118716267, -80.03110440292205 26.03255118716267, -80.03110440292205 26.07255118716267, -80.07110440292205 26.07255118716267, -80.07110440292205 26.03255118716267))"
275,2017-06-26T15:15:26,POINT (-79.94655587926732 26.12129582810839),"POLYGON ((-79.96655587926732 26.10129582810839, -79.92655587926733 26.10129582810839, -79.92655587926733 26.14129582810839, -79.96655587926732 26.14129582810839, -79.96655587926732 26.10129582810839))"
276,2017-06-26T15:15:58,POINT (-80.02969135179271 26.17178716377929),"POLYGON ((-80.0496913517927 26.15178716377929, -80.00969135179271 26.15178716377929, -80.00969135179271 26.19178716377929, -80.0496913517927 26.19178716377929, -80.0496913517927 26.15178716377929))"
277,2017-06-26T15:16:52,POINT (-80.04680256521537 26.04584470680295),"POLYGON ((-80.06680256521537 26.02584470680295, -80.02680256521538 26.02584470680295, -80.02680256521538 26.06584470680295, -80.06680256521537 26.06584470680295, -80.06680256521537 26.02584470680295))"
278,2017-06-26T15:16:18,POINT (-79.97549770354608 26.06995994896916),"POLYGON ((-79.99549770354608 26.04995994896916, -79.95549770354609 26.04995994896916, -79.95549770354609 26.08995994896916, -79.99549770354608 26.08995994896916, -79.99549770354608 26.04995994896916))"
279,2017-06-26T15:16:20,POINT (-80.09345963029932 25.96670940165678),"POLYGON ((-80.11345963029932 25.94670940165678, -80.07345963029933 25.94670940165678, -80.07345963029933 25.98670940165678, -80.11345963029932 25.98670940165678, -80.11345963029932 25.94670940165678))"
280,2017-06-26T15:15:35,POINT (-79.99919352116659 26.17570924944675),"POLYGON ((-80.01919352116659 26.15570924944675, -79.97919352116659 26.15570924944675, -79.97919352116659 26.19570924944675, -80.01919352116659 26.19570924944675, -80.01919352116659 26.15570924944675))"
